Authors,Title,Journal,Publication Year,DOI
GAAE: a novel genetic algorithm based on autoencoder with ensemble classifiers for imbalanced healthcare data,"Ram, PK; Kuila, P",JOURNAL OF SUPERCOMPUTING,2023,10.1007/s11227-022-04679-x
Material practices for meaningful engagement: An analysis of participatory learning and action research techniques for data generation and analysis in a health research partnership,"O'Reilly-de Brún, M; de Brún, T; O'Donnell, CA; Papadakaki, M; Saridaki, A; Lionis, C; Burns, N; Dowrick, C; Gravenhorst, K; Spiegel, W; Van Weel, C; Van Weel-Baumgarten, E; Van den Muijsenbergh, M; MacFarlane, A",HEALTH EXPECTATIONS,2018,10.1111/hex.12598
A hierarchically adaptable spatial regression model to link aggregated health data and environmental data,"Truong, PN; Stein, A",SPATIAL STATISTICS,2018,10.1016/j.spasta.2017.11.002
The Use of Mobile Personal Health Records for Hemoglobin A1c Regulation in Patients With Diabetes: Retrospective Observational Study,"Seo, D; Park, YR; Lee, Y; Kim, JY; Park, JY; Lee, JH",JOURNAL OF MEDICAL INTERNET RESEARCH,2020,10.2196/15372
Enriching Data Science and Health Care Education: Application and Impact of Synthetic Data Sets Through the Health Gym Project,"Kuo, NIH; Perez-Concha, O; Hanly, M; Mnatzaganian, E; Hao, BD; Di Sipio, M; Yu, GL; Vanjara, J; Valerie, IC; Costa, JD; Churches, T; Lujic, S; Hegarty, J; Jorm, L; Barbieri, S",JMIR MEDICAL EDUCATION,2024,10.2196/51388
The Architecture of a Feasibility Query Portal for Distributed COVID-19 Fast Healthcare Interoperability Resources (FHIR) Patient Data Repositories: Design and Implementation Study,"Gruendner, J; Deppenwiese, N; Folz, M; Köhler, T; Kroll, B; Prokosch, HU; Rosenau, L; Rühle, M; Scheidl, MA; Schüttler, C; Sedlmayr, B; Twrdik, A; Kiel, A; Majeed, RW",JMIR MEDICAL INFORMATICS,2022,10.2196/36709
Synthetic data in cancer and cerebrovascular disease research: A novel approach to big data,"Lun, RD; Siegal, D; Ramsay, T; Stotts, G; Dowlatshahi, D",PLOS ONE,2024,10.1371/journal.pone.0295921
Comparative assessment of synthetic time series generation approaches in healthcare: leveraging patient metadata for accurate data synthesis,"Isasa, I; Hernandez, M; Epelde, G; Londoño, F; Beristain, A; Larrea, X; Alberdi, A; Bamidis, P; Konstantinidis, E",BMC MEDICAL INFORMATICS AND DECISION MAKING,2024,10.1186/s12911-024-02427-0
Demonstrating an approach for evaluating synthetic geospatial and temporal epidemiologic data utility: results from analyzing >1.8 million SARS-CoV-2 tests in the United States National COVID Cohort Collaborative (N3C),"Thomas, JA; Foraker, RE; Zamstein, N; Morrow, JD; Payne, PRO; Wilcox, AB",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2022,10.1093/jamia/ocac045
To Link or Synthesize? An Approach to Data Quality Comparison,"Smith, D; Elliot, M; Sakshaug, JW",ACM JOURNAL OF DATA AND INFORMATION QUALITY,2023,10.1145/3580487
Secure Record Linkage of Large Health Data Sets: Evaluation of a Hybrid Cloud Model,"Brown, AP; Randall, SM",JMIR MEDICAL INFORMATICS,2020,10.2196/18920
MHDeep: Mental Health Disorder Detection System Based on Wearable Sensors and Artificial Neural Networks,"Hassantabar, S; Zhang, J; Yin, HX; Jha, NK",ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,2022,10.1145/3527170
SynTEG: a framework for temporal structured electronic health data simulation,"Zhang, ZQ; Yan, C; Lasko, TA; Sun, JM; Malin, BA",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2021,10.1093/jamia/ocaa262
Implementing community participation via interdisciplinary teams in primary care: An Irish case study in practice,"Tierney, E; McEvoy, R; Hannigan, A; MacFarlane, AE",HEALTH EXPECTATIONS,2018,10.1111/hex.12692
"Immunization data quality and factors influencing data generation, handling and use in Wogera District, Northern Ethiopia, 2020","Madebo, TH; Gezie, LD; Teklu, A; Mekonnen, ZA; Shahabuddin, A; Tilahun, B",ETHIOPIAN JOURNAL OF HEALTH DEVELOPMENT,2021,
DESIGN AND IMPLEMENTATION OF DISTRIBUTED LEDGER BASED HEALTH DATA MANAGEMENT SYSTEM,"Moon, J; Kim, D",INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING INFORMATION AND CONTROL,2020,10.24507/ijicic.16.03.1117
Perspectives from the Association for Molecular Pathology Electronic Health Record (EHR) Interoperability for Clinical Genomics Data Working Group,"Carter, AB; Abruzzo, LV; Hirschhorn, JW; Jones, D; Jordan, DC; Nassiri, M; Ogino, S; Patel, NR; Suciu, CG; Temple-Smolkin, RL; Zehir, A; Roy, S",JOURNAL OF MOLECULAR DIAGNOSTICS,2022,10.1016/j.jmoldx.2021.09.009
A Multifaceted benchmarking of synthetic electronic health record generation models,"Yan, C; Yan, Y; Wan, ZY; Zhang, ZQ; Omberg, L; Guinney, J; Mooney, SD; Malin, BA",NATURE COMMUNICATIONS,2022,10.1038/s41467-022-35295-1
Estimating determinants of healthcare establishment locations with restricted federal administrative data,"Van Sandt, A; Carpenter, CW; Dudensing, R; Loveridge, S",HEALTH ECONOMICS,2021,10.1002/hec.4242
The National COVID Cohort Collaborative: Analyses of Original and Computationally Derived Electronic Health Record Data,"Foraker, R; Guo, AX; Thomas, J; Zamstein, N; Payne, PRO; Wilcox, A",JOURNAL OF MEDICAL INTERNET RESEARCH,2021,10.2196/30697
"Level of health data quality and information use, and contributing factors in the Benishangul Gumuze Region, west Ethiopia: using social ecological framework","Tilahun, B; Derseh, L; Atnafu, A; Mamuye, A; Muluneh, D; Mengesha, M; Assaid, N; Hailemariam, T; Chanyalew, MA; Endehabtu, BF",ETHIOPIAN JOURNAL OF HEALTH DEVELOPMENT,2022,
Chest tomosynthesis image enhancement by bone suppression using convolutional neural networks with synthetic data,"Xu, XT; Li, Q; Jin, S; Su, Z; Zhang, Y",JOURNAL OF RADIATION RESEARCH AND APPLIED SCIENCES,2024,10.1016/j.jrras.2024.100866
CATS: Conditional Adversarial Trajectory Synthesis for privacy-preserving trajectory data publication using deep learning approaches,"Rao, JM; Gao, S; Zhu, SJ",INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2023,10.1080/13658816.2023.2262550
Customized Test Data Generator for HL7v3 based Healthcare Information Systems,"Egner, A; Moldoveanu, F; Goga, N; Moldoveanu, A; Asavei, V; Morar, A",CONTROL ENGINEERING AND APPLIED INFORMATICS,2013,
Labeling Self-Tracked Menstrual Health Records With Hidden Semi-Markov Models,"Symul, L; Holmes, S",IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,2022,10.1109/JBHI.2021.3110716
A Novel Machine-Learning-Based Hybrid CNN Model for Tumor Identification in Medical Image Processing,"Dhiman, G; Juneja, S; Viriyasitavat, W; Mohafez, H; Hadizadeh, M; Islam, MA; El Bayoumy, I; Gulati, K",SUSTAINABILITY,2022,10.3390/su14031447
Exploring barriers to primary care for migrants in Greece in times of austerity: Perspectives of service providers,"Papadakaki, M; Lionis, C; Saridaki, A; Dowrick, C; de Brún, T; O'Reilly-de Brún, M; O'Donnell, CA; Burns, N; van Weel-Baumgarten, E; van den Muijsenbergh, M; Spiegel, W; MacFarlane, A",EUROPEAN JOURNAL OF GENERAL PRACTICE,2017,10.1080/13814788.2017.1307336
Sensitivity of estimated tacrolimus population pharmacokinetic profile to assumed dose timing and absorption in real-world data and simulated data,"Williams, ML; Weeks, HL; Beck, C; Birdwell, KA; Van Driest, SL; Choi, L",BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,2022,10.1111/bcp.15218
Linking Data for Mothers and Babies in De-Identified Electronic Health Data,"Harron, K; Gilbert, R; Cromwell, D; van der Meulen, J",PLOS ONE,2016,10.1371/journal.pone.0164667
Use of an open-source electronic health record to establish a ?virtual hospital?: A tale of two curricula,"Medlock, S; Ploegmakers, KJ; Cornet, R; Pang, KW",INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,2023,10.1016/j.ijmedinf.2022.104907
Using an optimized generative model to infer the progression of complications in type 2 diabetes patients,"Wang, XX; Lin, YF; Xiong, Y; Zhang, SH; He, YM; He, YQ; Zhang, ZK; Plasek, JM; Zhou, L; Bates, DW; Tang, CL",BMC MEDICAL INFORMATICS AND DECISION MAKING,2022,10.1186/s12911-022-01915-5
A probabilistic generative model to discover the treatments of coexisting diseases with missing data,"Zaballa, O; Pérez, A; Gómez-Inhiesto, E; Acaiturri-Ayesta, T; Lozano, JA",COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,2024,10.1016/j.cmpb.2023.107870
"Artificial intelligence and secure use of health data in the KI-FDZ project: anonymization, synthetization, and secure processing of real-world data","Prasser, F; Riedel, N; Wolter, S; Corr, D; Ludwig, M",BUNDESGESUNDHEITSBLATT-GESUNDHEITSFORSCHUNG-GESUNDHEITSSCHUTZ,2024,10.1007/s00103-023-03823-z
Synthetic Individual Income Tax Data: Promises and Challenges,"Bowen, CM; Bryant, VL; Burman, L; Khitatrakun, S; McClelland, R; Mucciolo, L; Pickens, M; Williams, AR",NATIONAL TAX JOURNAL,2022,10.1086/722094
Multiscale measurement error models for aggregated small area health data,"Aregay, M; Lawson, AB; Faes, C; Kirby, RS; Carroll, R; Watjou, K",STATISTICAL METHODS IN MEDICAL RESEARCH,2016,10.1177/0962280216661094
Multi-view representation learning for tabular data integration using inter-feature relationships,"Tripathi, S; Fritz, BA; Abdelhack, M; Avidan, MS; Chen, YX; King, CR",JOURNAL OF BIOMEDICAL INFORMATICS,2024,10.1016/j.jbi.2024.104602
"Improving the Utility of Poisson-Distributed, Differentially Private Synthetic Data via Prior Predictive Truncation with an Application to CDC WONDER","Quick, H",JOURNAL OF SURVEY STATISTICS AND METHODOLOGY,2022,10.1093/jssam/smac007
Process evaluation of the data-driven quality improvement in primary care (DQIP) trial: active and less active ingredients of a multi-component complex intervention to reduce high-risk primary care prescribing,"Grant, A; Dreischulte, T; Guthrie, B",IMPLEMENTATION SCIENCE,2017,10.1186/s13012-016-0531-2
Implementation of a graph-embedded topic model for analysis of population-level electronic health records,"Wang, YN; Grant, AV; Li, Y",STAR PROTOCOLS,2023,10.1016/j.xpro.2022.101966
Application of a nonrandomized stepped wedge design to evaluate an evidence-based quality improvement intervention: a proof of concept using simulated data on patient-centered medical homes,"Huynh, AK; Lee, ML; Farmer, MM; Rubenstein, LV",BMC MEDICAL RESEARCH METHODOLOGY,2016,10.1186/s12874-016-0244-x
A Tutorial on Applying the Difference-in-Differences Method to Health Data,"Rothbard, S; Etheridge, JC; Murray, EJ",CURRENT EPIDEMIOLOGY REPORTS,2024,10.1007/s40471-023-00327-x
A new AI assisted medical molecular image diagnostic model,"Premananthan, G; Nagaraj, B; Jaya, J",JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,2023,10.3233/JIFS-223354
A method for cohort selection of cardiovascular disease records from an electronic health record system,"Abrahao, MTF; Nobre, MRC; Gutierrez, MA",INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,2017,10.1016/j.ijmedinf.2017.03.015
Assessing and Increasing Patient Panel Size in the Public Sector,"Marx, R; Drennan, MJ; Johnson, EC; Hirozawa, AM; Tse, WM; Katz, MH",JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE,2011,10.1097/PHH.0b013e318211393c
A novel method to create realistic synthetic medication data,"Hodges, R; Tokunaga, K; LeGrand, J",JAMIA OPEN,2023,10.1093/jamiaopen/ooad052
A Neighborhood-Similarity-Based Imputation Algorithm for Healthcare Data Sets: A Comparative Study,"Wilcox, C; Giagos, V; Djahel, S",ELECTRONICS,2023,10.3390/electronics12234809
Camera-based fall detection using real-world versus simulated data: How far are we from the solution?,"Debard, G; Mertens, M; Deschodt, M; Vlaeyen, E; Devriendt, E; Dejaeger, E; Milisen, K; Tournoy, J; Croonenborghs, T; Goedemé, T; Tuytelaars, T; Vanrumste, B",JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,2016,10.3233/AIS-160369
"Digital Data, Administrative Data, and Survey Compared: Updating the Classical Toolbox for Assessing Data Quality of Big Data, Exemplified by the Generation of Corruption Data","Graeff, P; Baur, N",HISTORICAL SOCIAL RESEARCH-HISTORISCHE SOZIALFORSCHUNG,2020,10.12759/hsr.45.2020.3.244-269
Generation of realistic synthetic data using Multimodal Neural Ordinary Differential Equations,"Wendland, P; Birkenbihl, C; Gomez-Freixa, M; Sood, M; Kschischo, M; Fröhlich, H",NPJ DIGITAL MEDICINE,2022,10.1038/s41746-022-00666-x
A Framework for Mining Signatures from Event Sequences and Its Applications in Healthcare Data,"Wang, F; Lee, N; Hu, JY; Sun, JM; Ebadollahi, S; Laine, AF",IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,2013,10.1109/TPAMI.2012.111
Missing values in deduplication of electronic patient data,"Sariyar, M; Borg, A; Pommerening, K",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2012,10.1136/amiajnl-2011-000461
Continuous time recurrent neural networks: Overview and benchmarking at forecasting blood glucose in the intensive care unit,"Fitzgerald, O; Perez-Concha, O; Gallego-Luxan, B; Metke-Jimenez, A; Rudd, L; Jorm, L",JOURNAL OF BIOMEDICAL INFORMATICS,2023,10.1016/j.jbi.2023.104498
A machine learning approach for individual claims reserving in insurance,"Baudry, M; Robert, CY",APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,2019,10.1002/asmb.2455
Non-parametric recurrent events analysis with BART and an application to the hospital admissions of patients with diabetes,"Sparapani, RA; Rein, LE; Tarima, SS; Jackson, TA; Meurer, JR",BIOSTATISTICS,2020,10.1093/biostatistics/kxy032
Privacy preserving interactive record linkage (PPIRL),"Kum, HC; Krishnamurthy, A; Machanavajjhala, A; Reiter, MK; Ahalt, S",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2014,10.1136/amiajnl-2013-002165
Real-time markerless tumour tracking with patient-specific deep learning using a personalised data generation strategy: proof of concept by phantom study,"Takahashi, W; Oshikawa, S; Mori, S",BRITISH JOURNAL OF RADIOLOGY,2020,10.1259/bjr.20190420
Spatial mixture multiscale modeling for aggregated health data,"Aregay, M; Lawson, AB; Faes, C; Kirby, RS; Carroll, R; Watjou, K",BIOMETRICAL JOURNAL,2016,10.1002/bimj.201500168
A flexible mixed data model applied to claims data for post-market surveillance of prescription drug safety behavior,"Butler, H; Rice, JD; Carlson, NE; Morrato, EH",PHARMACEUTICAL STATISTICS,2022,10.1002/pst.2213
"Isabl Platform, a digital biobank for processing multimodal patient data","Medina-Martínez, JS; Arango-Ossa, JE; Levine, MF; Zhou, YY; Gundem, G; Kung, AL; Papaemmanuil, E",BMC BIOINFORMATICS,2020,10.1186/s12859-020-03879-7
A comparison of methods for fixed effects meta-analysis of individual patient data with time to event outcomes,"Smith, CT; Williamson, PR",CLINICAL TRIALS,2007,10.1177/1740774507085276
Diffusion-based conditional ECG generation with structured state space models,"Alcaraz, JML; Strodthoff, N",COMPUTERS IN BIOLOGY AND MEDICINE,2023,10.1016/j.compbiomed.2023.107115
Validity of Attention Bias Variability Indices for Posttraumatic Stress Disorder Research: Evidence From Patient Data,"Alon, Y; Naim, R; Pine, DS; Bliese, PD; Bar-Haim, Y",JOURNAL OF TRAUMATIC STRESS,2019,10.1002/jts.22443
"Respect, but ... an analysis of the reception of the transsexual population in primary care in a municipality of Santa Catarina ...","Derner, ID; Tomazelli, N; da Silveira, E; Munaro, CA; Velho, PS",REVISTA DE GESTAO E SECRETARIADO-GESEC,2023,10.7769/gesec.v14i7.2503
CADUCEO: A Platform to Support Federated Healthcare Facilities through Artificial Intelligence,"Menegatti, D; Giuseppi, A; Delli Priscoli, F; Pietrabissa, A; Di Giorgio, A; Baldisseri, F; Mattioni, M; Monaco, S; Lanari, L; Panfili, M; Suraci, V",HEALTHCARE,2023,10.3390/healthcare11152199
A linearization approach for the model-based analysis of combined aggregate and individual patient data,"Ravva, P; Karlsson, MO; French, JL",STATISTICS IN MEDICINE,2014,10.1002/sim.6045
Improving diabetes disease patients classification using stacking ensemble method with PIMA and local healthcare data,"Reza, MS; Amin, R; Yasmin, R; Kulsum, W; Ruhi, S",HELIYON,2024,10.1016/j.heliyon.2024.e24536
"A Causal Perspective on OSIM2 Data Generation, with Implications for Simulation Study Design and Interpretation","Gruber, S",JOURNAL OF CAUSAL INFERENCE,2015,10.1515/jci-2014-0008
Health Data Entanglement and artificial intelligence-based analysis: a brand new methodology to improve the effectiveness of healthcare services,"Capone, A; Cicchetti, A; Mennini, FS; Marcellusi, A; Baio, G; Favato, G",CLINICA TERAPEUTICA,2016,10.7417/CT.2016.1952
Improved Coupled Tensor Factorization with Its Applications in Health Data Analysis,"Wu, Q; Wang, J; Fan, J; Xu, G; Wu, J; Johnson, B; Li, XF; Do, Q; Ge, RQ",COMPLEXITY,2019,10.1155/2019/1574240
Integrating Multidimensional Data for Clustering Analysis With Applications to Cancer Patient Data,"Park, S; Xu, H; Zhao, HY",JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,2021,10.1080/01621459.2020.1730853
The process of nurses' role negotiation in general practice: A grounded theory study,"Hewitt, SL; Mills, JE; Hoare, KJ; Sheridan, NF",JOURNAL OF ADVANCED NURSING,2024,10.1111/jan.15938
Learning the progression patterns of treatments using a probabilistic generative model,"Zaballa, O; Pérez, A; Inhiesto, EG; Ayesta, TA; Lozano, JA",JOURNAL OF BIOMEDICAL INFORMATICS,2023,10.1016/j.jbi.2022.104271
Comparing multilevel and multiscale convolution models for small area aggregated health data,"Aregay, M; Lawson, AB; Faes, C; Kirby, RS; Carroll, R; Watjou, K",SPATIAL AND SPATIO-TEMPORAL EPIDEMIOLOGY,2017,10.1016/j.sste.2017.06.001
Family history in primary care: understanding GPs' resistance to clinical genetics - qualitative study,"Mathers, J; Greenfield, S; Metcalfe, A; Cole, T; Flanagan, S; Wilson, S",BRITISH JOURNAL OF GENERAL PRACTICE,2010,10.3399/bjgp10X501868
Investigating synthetic medical time-series resemblance,"Bhanot, K; Pedersen, J; Guyon, I; Bennett, KP",NEUROCOMPUTING,2022,10.1016/j.neucom.2022.04.097
How to use frailtypack for validating failure-time surrogate endpoints using individual patient data from meta-analyses of randomized controlled trials,"Sofeu, CL; Rondeau, V",PLOS ONE,2020,10.1371/journal.pone.0228098
Generation of a Realistic Synthetic Laryngeal Cancer Cohort for AI Applications,"Katalinic, M; Schenk, M; Franke, S; Katalinic, A; Neumuth, T; Dietz, A; Stoehr, M; Gaebel, J",CANCERS,2024,10.3390/cancers16030639
FedFSA: Hybrid and federated framework for functional status ascertainment across institutions,"Fu, SY; Jia, HL; Vassilaki, M; Keloth, VK; Dang, YF; Zhou, YJ; Garg, M; Petersen, RC; St Sauver, J; Moon, S; Wang, LW; Wen, A; Li, F; Xu, H; Tao, C; Fan, JW; Liu, HF; Sohn, S",JOURNAL OF BIOMEDICAL INFORMATICS,2024,10.1016/j.jbi.2024.104623
Coffee Crops Analysis Using UAVs Equipped with Multispectral Cameras,"Arteaga-Lopez, N; Delgado-Calvache, C; Casanova, JF; Figueroa, C","REVISTA FACULTAD DE INGENIERIA, UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",2022,10.19053/01211129.v31.n62.2022.14870
Individual and contextual level enablers and barriers determining electronic community health information system implementation in northwest Ethiopia,"Hailemariam, T; Atnafu, A; Gezie, LD; Kaasboll, JJ; Klein, J; Tilahun, B",BMC HEALTH SERVICES RESEARCH,2023,10.1186/s12913-023-09629-8
Noise ECG generation method based on generative adversarial network,"Huang, SB; Wang, P; Li, RS",BIOMEDICAL SIGNAL PROCESSING AND CONTROL,2023,10.1016/j.bspc.2022.104444
Deep learning for cranioplasty in clinical practice: Going from synthetic to real patient data,"Kodym, O; Spanel, M; Herout, A",COMPUTERS IN BIOLOGY AND MEDICINE,2021,10.1016/j.compbiomed.2021.104766
Mimicking clinical trials with synthetic acute myeloid leukemia patients using generative artificial intelligence,"Eckardt, JN; Hahn, W; Röllig, C; Stasik, S; Platzbecker, U; Müller-Tidow, C; Serve, H; Baldus, CD; Schliemann, C; Schäfer-Eckart, K; Hanoun, M; Kaufmann, M; Burchert, A; Thiede, C; Schetelig, J; Sedlmayr, M; Bornhäuser, M; Wolfien, M; Middeke, JM",NPJ DIGITAL MEDICINE,2024,10.1038/s41746-024-01076-x
Generation of synthetic EEG data for training algorithms supporting the diagnosis of major depressive disorder,"Carrle, FP; Hollenbenders, Y; Reichenbach, A",FRONTIERS IN NEUROSCIENCE,2023,10.3389/fnins.2023.1219133
"Health record hiccups-5,526 real-world time series with change points labelled by crowdsourced visual inspection","Quan, TP; Lacey, B; Peto, TEA; Walker, AS",GIGASCIENCE,2023,10.1093/gigascience/giad060
Revolutionizing personalized medicine with generative AI: a systematic review,"Ghebrehiwet, I; Zaki, N; Damseh, R; Mohamad, MS",ARTIFICIAL INTELLIGENCE REVIEW,2024,10.1007/s10462-024-10768-5
SPINNED: Simulation-based physics-informed neural network for deconvolution of dynamic susceptibility contrast MRI perfusion data,"Asaduddin, M; Kim, EY; Park, SH",MAGNETIC RESONANCE IN MEDICINE,2024,10.1002/mrm.30095
Imputation of clinical covariates in time series,"Bertsimas, D; Orfanoudaki, A; Pawlowski, C",MACHINE LEARNING,2021,10.1007/s10994-020-05923-2
Data Protection Impact Assessment Case Study for a Research Project Using Artificial Intelligence on Patient Data,"Várkonyi, GG; Gradisek, A",INFORMATICA-AN INTERNATIONAL JOURNAL OF COMPUTING AND INFORMATICS,2020,10.31449/inf.v44i4.3253
A comparative patient-level prediction study in OMOP CDM: applicative potential and insights from synthetic data,"Ahmadi, N; Nguyen, QV; Sedlmayr, M; Wolfien, M",SCIENTIFIC REPORTS,2024,10.1038/s41598-024-52723-y
The potential of convolutional neural networks for identifying neural states based on electrophysiological signals: experiments on synthetic and real patient data,"Rodriguez, F; He, SH; Tan, HL",FRONTIERS IN HUMAN NEUROSCIENCE,2023,10.3389/fnhum.2023.1134599
Extraction of unadjusted estimates of prognostic association for meta-analysis: simulation methods as good alternatives to trend and direct method estimation,"Pérez, T; McLellan, J; Perera, R",JOURNAL OF CLINICAL EPIDEMIOLOGY,2018,10.1016/j.jclinepi.2017.12.017
State of the art in clinical decision support applications in pediatric perioperative medicine,"Wang, E; Brenn, BR; Matava, CT",CURRENT OPINION IN ANESTHESIOLOGY,2020,10.1097/ACO.0000000000000850
Access to primary mental health care for hard-to-reach groups: From 'silent suffering' to 'making it work',"Kovandzic, M; Chew-Graham, C; Reeve, J; Edwards, S; Peters, S; Edge, D; Aseem, S; Gask, L; Dowrick, C",SOCIAL SCIENCE & MEDICINE,2011,10.1016/j.socscimed.2010.11.027
Quantifying the Effect of Data Quality on the Validity of an eMeasure,"Johnson, SG; Speedie, S; Simon, G; Kumar, V; Westra, BL",APPLIED CLINICAL INFORMATICS,2017,10.4338/ACI-2017-03-RA0042
Partial-volume correction in PET: Validation of an iterative postreconstruction method with phantom and patient data,"Teo, BK; Seo, Y; Bacharach, SL; Carrasquillo, JA; Libutti, SK; Shukla, H; Hasegawa, BH; Hawkins, RA; Franc, BL",JOURNAL OF NUCLEAR MEDICINE,2007,10.2967/jnumed.106.035576
Generative Adversarial Networks in Cardiology,"Skandarani, Y; Lalande, A; Afilalo, J; Jodoin, PM",CANADIAN JOURNAL OF CARDIOLOGY,2022,10.1016/j.cjca.2021.11.003
Evaluating Performance of Risk Identification Methods Through a Large-Scale Simulation of Observational Data,"Ryan, PB; Schuemie, MJ",DRUG SAFETY,2013,10.1007/s40264-013-0110-2
HOW TO OVERCOME LACK OF HEALTH RECORD DATA AND PRIVACY OBSTACLES IN INITIAL PHASES OF MEDICAL DATA ANALYSIS PROJECTS,"Mohamad, Y; Gabber, A; Heidenblut, S; Zenz, D; Siddiqi, A; Gappa, H",COMPUTING AND INFORMATICS,2022,10.31577/cai_2022_1_233
Big Data Privacy in Biomedical Research,"Wang, S; Bonomi, L; Dai, WR; Chen, F; Cheung, C; Bloss, CS; Cheng, S; Jiang, XQ",IEEE TRANSACTIONS ON BIG DATA,2020,10.1109/TBDATA.2016.2608848
4D Blood Flow Reconstruction Over the Entire Ventricle From Wall Motion and Blood Velocity Derived From Ultrasound Data,"Gomez, A; de Vecchi, A; Jantsch, M; Shi, WZ; Pushparajah, K; Simpson, JM; Smith, NP; Rueckert, D; Schaeffter, T; Penney, GP",IEEE TRANSACTIONS ON MEDICAL IMAGING,2015,10.1109/TMI.2015.2428932
A synthetic dataset of liver disorder patients,"Nicora, G; Buonocore, TM; Parimbelli, E",DATA IN BRIEF,2023,10.1016/j.dib.2023.108921
Context-Aware Time Series Imputation for Multi-Analyte Clinical Data,"Yin, KJ; Feng, LL; Cheung, WK",JOURNAL OF HEALTHCARE INFORMATICS RESEARCH,2020,10.1007/s41666-020-00075-3
Hyperelastic membrane modelling based on data-driven constitutive relations,"Salamatova, VY; Liogky, AA",RUSSIAN JOURNAL OF NUMERICAL ANALYSIS AND MATHEMATICAL MODELLING,2020,10.1515/rnam-2020-0013
Using uncertain data from body-worn sensors to gain insight into type 1 diabetes,"Heintzman, N; Kleinberg, S",JOURNAL OF BIOMEDICAL INFORMATICS,2016,10.1016/j.jbi.2016.08.022
Robust point-pattern inference from spatially censored data,"Sweeney, SH; Konty, KJ",ENVIRONMENT AND PLANNING A,2005,10.1068/a35318
"Redundancy in electronic health record corpora: analysis, impact on text mining performance and mitigation strategies","Cohen, R; Elhadad, M; Elhadad, N",BMC BIOINFORMATICS,2013,10.1186/1471-2105-14-10
Probabilistic record linkage of de-identified research datasets with discrepancies using diagnosis codes,"Hejblum, BP; Weber, GM; Liao, KP; Palmeri, NP; Churchill, S; Shadick, NA; Szoloyits, P; Murphy, SN; Kohane, IS; Cai, TX",SCIENTIFIC DATA,2019,10.1038/sdata.2018.298
"The National COVID Cohort Collaborative (N3C): Rationale, design, infrastructure, and deployment","Haendel, MA; Chute, CG; Bennett, TD; Eichmann, DA; Guinney, J; Kibbe, WA; Payne, PRO; Pfaff, ER; Robinson, PN; Saltz, JH; Spratt, H; Suver, C; Wilbanks, J; Wilcox, AB; Williams, AE; Wu, CL; Blacketer, C; Bradford, RL; Cimino, JJ; Clark, M; Colmenares, EW; Francis, PA; Gabriel, D; Graves, A; Hemadri, R; Hong, SS; Hripscak, G; Jiao, DZ; Klann, JG; Kostka, K; Lee, AM; Lehmann, HP; Lingrey, L; Miller, RT; Morris, M; Murphy, SN; Natarajan, K; Palchuk, MB; Sheikh, U; Solbrig, H; Visweswaran, S; Walden, A; Walters, KM; Weber, GM; Zhang, XT; Zhu, RL; Amor, B; Girvin, AT; Manna, A; Qureshi, N; Kurilla, MG; Michael, SG; Portilla, LM; Rutter, JL; Austin, CP; Gersing, KR",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2021,10.1093/jamia/ocaa196
Penalized Poisson model for network meta-analysis of individual patient time-to-event data,"Ollier, E; Blanchard, P; Le Teuff, G; Michiels, S",STATISTICS IN MEDICINE,2022,10.1002/sim.9240
Motion Sensor-Based Detection of Outlier Days Supporting Continuous Health Assessment for Single Older Adults,"Mertens, M; Debard, G; Davis, J; Devriendt, E; Milisen, K; Tournoy, J; Croonenborghs, T; Vanrumste, B",SENSORS,2021,10.3390/s21186080
De-identifying Spanish medical texts-named entity recognition applied to radiology reports,"Pérez-Díez, I; Pérez-Moraga, R; López-Cerdán, A; Salinas-Serrano, JM; de la Iglesia-Vayá, M",JOURNAL OF BIOMEDICAL SEMANTICS,2021,10.1186/s13326-021-00236-2
Internet use and health: Connecting secondary data through spatial microsimulation,"Deetjen, U; Powell, JA",DIGITAL HEALTH,2016,10.1177/2055207616666588
