Title,First Author,Journal,Publication Year,DOI
Deep Aging Clocks: The Emergence of AI-Based Biomarkers of Aging and Longevity,Zhavoronkov A,Trends Pharmacol Sci,2019,10.1016/j.tips.2019.05.004
Encoding of Numerical Data for Privacy-Preserving Record Linkage,Demelius L,Stud Health Technol Inform,2020,10.3233/SHTI200070
"Calculating Power by Bootstrap, with an Application to Cluster-Randomized Trials",Kleinman K,EGEMS (Wash DC),2017,10.13063/2327-9214.1202
Optimization of DCE-MRI protocol for the assessment of patients with brain tumors,Artzi M,Magn Reson Imaging,2016,10.1016/j.mri.2016.07.003
Assessing function of electronic health records for real-world data generation,Guinn D,BMJ Evid Based Med,2019,10.1136/bmjebm-2018-111111
LDP-GAN : Generative adversarial networks with local differential privacy for patient medical records synthesis,Gwon H,Comput Biol Med,2024,10.1016/j.compbiomed.2023.107738
Access to primary mental health care for hard-to-reach groups: from 'silent suffering' to 'making it work',Kovandžić M,Soc Sci Med,2011,10.1016/j.socscimed.2010.11.027
Predicting 5-year dementia conversion in veterans with mild cognitive impairment,Irwin C,Alzheimers Dement (Amst),2024,10.1002/dad2.12572
Time warping between main epidemic time series in epidemiological surveillance,Morel JD,PLoS Comput Biol,2023,10.1371/journal.pcbi.1011757
Secure Record Linkage of Large Health Data Sets: Evaluation of a Hybrid Cloud Model,Brown AP,JMIR Med Inform,2020,10.2196/18920
Robust Collaborative Clustering of Subjects and Radiomic Features for Cancer Prognosis,Liu H,IEEE Trans Biomed Eng,2020,10.1109/TBME.2020.2969839
Multi-view representation learning for tabular data integration using inter-feature relationships,Tripathi S,J Biomed Inform,2024,10.1016/j.jbi.2024.104602
Internal Motion Estimation by Internal-external Motion Modeling for Lung Cancer Radiotherapy,Chen H,Sci Rep,2018,10.1038/s41598-018-22023-3
Quantifying the Effect of Data Quality on the Validity of an eMeasure,Johnson SG,Appl Clin Inform,2017,10.4338/ACI-2017-03-RA-0042
Comparative assessment of synthetic time series generation approaches in healthcare: leveraging patient metadata for accurate data synthesis,Isasa I,BMC Med Inform Decis Mak,2024,10.1186/s12911-024-02427-0
"Addressing Posttreatment Selection Bias in Comparative Effectiveness Research, Using Real-World Data and Simulation",Belviso N,Am J Epidemiol,2022,10.1093/aje/kwab242
A comparison of confounder selection and adjustment methods for estimating causal effects using large healthcare databases,Benasseur I,Pharmacoepidemiol Drug Saf,2022,10.1002/pds.5403
On the practical identifiability of a two-parameter model of pulmonary gas exchange,Riedlinger A,Biomed Eng Online,2015,10.1186/s12938-015-0077-6
Accounting for treatment use when validating a prognostic model: a simulation study,Pajouheshnia R,BMC Med Res Methodol,2017,10.1186/s12874-017-0375-8
Can the Use of Bayesian Analysis Methods Correct for Incompleteness in Electronic Health Records Diagnosis Data? Development of a Novel Method Using Simulated and Real-Life Clinical Data,Ford E,Front Public Health,2020,10.3389/fpubh.2020.00054
Enriching Data Science and Health Care Education: Application and Impact of Synthetic Data Sets Through the Health Gym Project,Kuo NI,JMIR Med Educ,2024,10.2196/51388
A comprehensive review and shiny application on the matching-adjusted indirect comparison,Jiang Z,Res Synth Methods,2024,10.1002/jrsm.1709
Development of Integrated Data Quality Management System for Observational Medical Outcomes Partnership Common Data Model,Oh SW,Stud Health Technol Inform,2024,10.3233/SHTI230985
Adaptive Sparsity Regularization Based Collaborative Clustering for Cancer Prognosis,Liu H,Med Image Comput Comput Assist Interv,2019,10.1007/978-3-030-32251-9_64
The validity of synthetic clinical data: a validation study of a leading synthetic data generator (Synthea) using clinical quality measures,Chen J,BMC Med Inform Decis Mak,2019,10.1186/s12911-019-0793-0
Clustering and Kernel Density Estimation for Assessment of Measurable Residual Disease by Flow Cytometry,Jacqmin H,Diagnostics (Basel),2020,10.3390/diagnostics10050317
Reusable data in public health data-bases-problems encountered in Danish Children's Database,Høstgaard AM,Stud Health Technol Inform,2012,
FedFSA: Hybrid and federated framework for functional status ascertainment across institutions,Fu S,J Biomed Inform,2024,10.1016/j.jbi.2024.104623
Benefit-Risk Monitoring of Vaccines Using an Interactive Dashboard: A Methodological Proposal from the ADVANCE Project,Bollaerts K,Drug Saf,2018,10.1007/s40264-018-0658-y
"Use of an open-source electronic health record to establish a ""virtual hospital"": A tale of two curricula",Medlock S,Int J Med Inform,2023,10.1016/j.ijmedinf.2022.104907
Next generation phenotyping using the unified medical language system,Adamusiak T,JMIR Med Inform,2014,10.2196/medinform.3172
Flexible propensity score estimation strategies for clustered data in observational studies,Chang TH,Stat Med,2022,10.1002/sim.9551
A comparative patient-level prediction study in OMOP CDM: applicative potential and insights from synthetic data,Ahmadi N,Sci Rep,2024,10.1038/s41598-024-52723-y
The Use of Electronic Medical Record Data to Analyze the Association Between Atrial Fibrillation and Birth Month,Matsuda K,Online J Public Health Inform,2017,10.5210/ojphi.v9i3.7864
Statistical implications of endogeneity induced by residential segregation in small-area modelling of health inequities,Nethery RC,Am Stat,2022,10.1080/00031305.2021.2003245
A comparative study: classification vs. user-based collaborative filtering for clinical prediction,Hao F,BMC Med Res Methodol,2016,10.1186/s12874-016-0261-9
[Biomedical engineering supports surgical planning and interventions],Dickhaus H,Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,2010,10.1007/s00103-010-1100-5
Generalizing observational study results: applying propensity score methods to complex surveys,Dugoff EH,Health Serv Res,2014,10.1111/1475-6773.12090
Unleashing the Power of Very Small Data to Predict Acute Exacerbations of Chronic Obstructive Pulmonary Disease,Jacobson PK,Int J Chron Obstruct Pulmon Dis,2023,10.2147/COPD.S412692
Beyond trust: Amplifying unheard voices on concerns about harm resulting from health data-sharing,Mulrine S,Med Access Point Care,2021,10.1177/23992026211048421
Proof-of-concept study: Homomorphically encrypted data can support real-time learning in personalized cancer medicine,Paddock S,BMC Med Inform Decis Mak,2019,10.1186/s12911-019-0983-9
Generative Model of Brain Microbleeds for MRI Detection of Vascular Marker of Neurodegenerative Diseases,Momeni S,Front Neurosci,2021,10.3389/fnins.2021.778767
Evaluating the detection ability of a range of epistasis detection methods on simulated data for pure and impure epistatic models,Russ D,PLoS One,2022,10.1371/journal.pone.0263390
The Bland-Altman method should not be used when one of the two measurement methods has negligible measurement errors,Taffé P,PLoS One,2022,10.1371/journal.pone.0278915
Fast and optimal algorithm for case-control matching using registry data: application on the antibiotics use of colorectal cancer patients,Mamouris P,BMC Med Res Methodol,2021,10.1186/s12874-021-01256-3
Multi-Perspective Process Mining Interfaces for HL7 AuditEvent Repositories: XES and OCEL,Pointner A,Stud Health Technol Inform,2023,10.3233/SHTI230034
Improving diabetes disease patients classification using stacking ensemble method with PIMA and local healthcare data,Reza MS,Heliyon,2024,10.1016/j.heliyon.2024.e24536
"Synthea: An approach, method, and software mechanism for generating synthetic patients and the synthetic electronic health care record",Walonoski J,J Am Med Inform Assoc,2018,10.1093/jamia/ocx079
Motion Sensor-Based Detection of Outlier Days Supporting Continuous Health Assessment for Single Older Adults,Mertens M,Sensors (Basel),2021,10.3390/s21186080
A linearization approach for the model-based analysis of combined aggregate and individual patient data,Ravva P,Stat Med,2014,10.1002/sim.6045
A joint learning method for incomplete and imbalanced data in electronic health record based on generative adversarial networks,Weng X,Comput Biol Med,2024,10.1016/j.compbiomed.2023.107687
Detection of COVID-19 features in lung ultrasound images using deep neural networks,Zhao L,Commun Med (Lond),2024,10.1038/s43856-024-00463-5
Production and use of estimates for monitoring progress in the health sector: the case of Bangladesh,Ahsan KZ,Glob Health Action,2017,10.1080/16549716.2017.1298890
Active safety monitoring of new medical products using electronic healthcare data: selecting alerting rules,Gagne JJ,Epidemiology,2012,10.1097/EDE.0b013e3182459d7d
"High-dimensional propensity scores for empirical covariate selection in secondary database studies: Planning, implementation, and reporting",Rassen JA,Pharmacoepidemiol Drug Saf,2023,10.1002/pds.5566
Real-time markerless tumour tracking with patient-specific deep learning using a personalised data generation strategy: proof of concept by phantom study,Takahashi W,Br J Radiol,2020,10.1259/bjr.20190420
Semi-supervised ROC analysis for reliable and streamlined evaluation of phenotyping algorithms,Gao J,J Am Med Inform Assoc,2024,10.1093/jamia/ocad226
Spatio-temporal physics-informed learning: A novel approach to CT perfusion analysis in acute ischemic stroke,de Vries L,Med Image Anal,2023,10.1016/j.media.2023.102971
Comparing Findings From a Friends of Cancer Research Exploratory Analysis of Real-World End Points With the Cancer Analysis System in England,Horvat P,JCO Clin Cancer Inform,2021,10.1200/CCI.21.00013
Case report: evaluation of an open-source synthetic data platform for simulation studies,Meeker D,JAMIA Open,2022,10.1093/jamiaopen/ooac067
Deep learning-based markerless lung tumor tracking in stereotactic radiotherapy using Siamese networks,Grama D,Med Phys,2023,10.1002/mp.16470
Reliability of Supervised Machine Learning Using Synthetic Data in Health Care: Model to Preserve Privacy for Data Sharing,Rankin D,JMIR Med Inform,2020,10.2196/18910
Producing routine malaria data: an exploration of the micro-practices and processes shaping routine malaria data quality in frontline health facilities in Kenya,Okello G,Malar J,2019,10.1186/s12936-019-3061-y
Barriers to data quality resulting from the process of coding health information to administrative data: a qualitative study,Lucyk K,BMC Health Serv Res,2017,10.1186/s12913-017-2697-y
Brain MR image denoising for Rician noise using pre-smooth non-local means filter,Yang J,Biomed Eng Online,2015,10.1186/1475-925X-14-2
Preferences for Sun Protection With a Self-Monitoring App: Protocol of a Discrete Choice Experiment Study,Nittas V,JMIR Res Protoc,2020,10.2196/16087
The application of unsupervised deep learning in predictive models using electronic health records,Wang L,BMC Med Res Methodol,2020,10.1186/s12874-020-00923-1
The process of patient enablement in general practice nurse consultations: a grounded theory study,Desborough J,J Adv Nurs,2017,10.1111/jan.13199
An integrated and sustainable EU health information system: national public health institutes' needs and possible benefits,Bogaert P,Arch Public Health,2017,10.1186/s13690-016-0171-7
Mimicking clinical trials with synthetic acute myeloid leukemia patients using generative artificial intelligence,Eckardt JN,NPJ Digit Med,2024,10.1038/s41746-024-01076-x
Using uncertain data from body-worn sensors to gain insight into type 1 diabetes,Heintzman N,J Biomed Inform,2016,10.1016/j.jbi.2016.08.022
Probabilistic record linkage of de-identified research datasets with discrepancies using diagnosis codes,Hejblum BP,Sci Data,2019,10.1038/sdata.2018.298
Participation is integral': understanding the levers and barriers to the implementation of community participation in primary healthcare: a qualitative study using normalisation process theory,McEvoy R,BMC Health Serv Res,2019,10.1186/s12913-019-4331-7
Microbiome-based risk prediction in incident heart failure: a community challenge,Erawijantari PP,medRxiv,2023,10.1101/2023.10.12.23296829
Implementation of a graph-embedded topic model for analysis of population-level electronic health records,Wang Y,STAR Protoc,2023,10.1016/j.xpro.2022.101966
Impact of discretization of the timeline for longitudinal causal inference methods,Ferreira Guerra S,Stat Med,2020,10.1002/sim.8710
The Use of Mobile Personal Health Records for Hemoglobin A1c Regulation in Patients With Diabetes: Retrospective Observational Study,Seo D,J Med Internet Res,2020,10.2196/15372
FastClone is a probabilistic tool for deconvoluting tumor heterogeneity in bulk-sequencing samples,Xiao Y,Nat Commun,2020,10.1038/s41467-020-18169-2
Robust estimation of the effect of an exposure on the change in a continuous outcome,Ning Y,BMC Med Res Methodol,2020,10.1186/s12874-020-01027-6
Privacy-preserving heterogeneous health data sharing,Mohammed N,J Am Med Inform Assoc,2013,10.1136/amiajnl-2012-001027
D3D augmented reality imaging system: proof of concept in mammography,Douglas DB,Med Devices (Auckl),2016,10.2147/MDER.S110756
Improving the performance of machine learning penicillin adverse drug reaction classification with synthetic data and transfer learning,Stanekova V,Intern Med J,2024,10.1111/imj.16360
Dealing with missing outcome data in randomized trials and observational studies,Groenwold RH,Am J Epidemiol,2012,10.1093/aje/kwr302
Robust analysis of stepped wedge trials using cluster-level summaries within periods,Thompson JA,Stat Med,2018,10.1002/sim.7668
Process evaluation of the data-driven quality improvement in primary care (DQIP) trial: active and less active ingredients of a multi-component complex intervention to reduce high-risk primary care prescribing,Grant A,Implement Sci,2017,10.1186/s13012-016-0531-2
"Provision of chlamydia testing, and training of primary health care staff about chlamydia testing, across four European countries",Uusküla A,BMC Public Health,2014,10.1186/1471-2458-14-1147
Street masking: a network-based geographic mask for easily protecting geoprivacy,Swanlund D,Int J Health Geogr,2020,10.1186/s12942-020-00219-z
On Left Ventricle Stroke Work Efficiency in Children with Moderate Aortic Valve Regurgitation or Moderate Aortic Valve Stenosis,Asaadi M,Pediatr Cardiol,2022,10.1007/s00246-021-02690-2
Adjustment for unmeasured confounding through informative priors for the confounder-outcome relation,Groenwold RHH,BMC Med Res Methodol,2018,10.1186/s12874-018-0634-3
Continuous time recurrent neural networks: Overview and benchmarking at forecasting blood glucose in the intensive care unit,Fitzgerald O,J Biomed Inform,2023,10.1016/j.jbi.2023.104498
Adapting national data systems for donor transition: comparative analysis of experience from Georgia and China,Chikovani I,Health Policy Plan,2024,10.1093/heapol/czad098
ConvSCCS: convolutional self-controlled case series model for lagged adverse event detection,Morel M,Biostatistics,2020,10.1093/biostatistics/kxz003
"""Real-World"" De-Identification of High-Dimensional Transactional Health Datasets",Moselle KA,Stud Health Technol Inform,2019,
Deconvolution of Tc-99m-Mercaptoacetyltriglycine Renograms with the Concomitant Use of a Sparse Legendre Polynomial Representation and the Moore-Penrose Pseudo-inverse,Destine M,Mol Imaging Radionucl Ther,2022,10.4274/mirt.galenos.2021.17363
A Privacy-Preserving Log-Rank Test for the Kaplan-Meier Estimator With Secure Multiparty Computation: Algorithm Development and Validation,von Maltitz M,JMIR Med Inform,2021,10.2196/22158
Intention to Use an Electronic Community Health Information System Among Health Extension Workers in Rural Northwest Ethiopia: Cross-Sectional Study Using the Unified Theory of Acceptance and Use of Technology 2 Model,Hailemariam T,JMIR Hum Factors,2024,10.2196/47081
Ranking of average treatment effects with generalized random forests for time-to-event outcomes,Rytgaard HCW,Stat Med,2023,10.1002/sim.9686
Utility of deep learning networks for the generation of artificial cardiac magnetic resonance images in congenital heart disease,Diller GP,BMC Med Imaging,2020,10.1186/s12880-020-00511-1
Frequent Causal Pattern Mining: A Computationally Efficient Framework For Estimating Bias-Corrected Effects,Yadav P,Proc IEEE Int Conf Big Data,2019,10.1109/bigdata47090.2019.9005977
Semantic representation and comparative analysis of physical activity sensor observations using MOX2-5 sensor in real and synthetic datasets: a proof-of-concept-study,Chatterjee A,Sci Rep,2024,10.1038/s41598-024-55183-6
Spatial mixture multiscale modeling for aggregated health data,Aregay M,Biom J,2016,10.1002/bimj.201500168
Cross-comparison of three electromyogram decomposition algorithms assessed with experimental and simulated data,Dai C,IEEE Trans Neural Syst Rehabil Eng,2015,10.1109/TNSRE.2014.2322586
Use of a common spreadsheet program to demonstrate the ability of Bayesian forecasting to estimate the pharmacokinetic parameters of antibiotics,Brocks DR,J Pharm Pharmacol,2023,10.1093/jpp/rgad068
"Incidence, prevalence, and trends in endometriosis diagnosis: a United States population-based study from 2006 to 2015",Christ JP,Am J Obstet Gynecol,2021,10.1016/j.ajog.2021.06.067
Bridging the gap between complexity science and clinical practice by formalizing idiographic theories: a computational model of functional analysis,Burger J,BMC Med,2020,10.1186/s12916-020-01558-1
Analysis of survival adjusted for quality of life using the Q-TWiST function: Interface in R,Bogart E,Comput Methods Programs Biomed,2016,10.1016/j.cmpb.2015.11.005
An Intelligent Healthcare Cyber Physical Framework for Encephalitis Diagnosis Based on Information Fusion and Soft-Computing Techniques,Gupta A,New Gener Comput,2022,10.1007/s00354-022-00175-1
Supervised and Unsupervised Approaches for the Real-Time Detection of Undesired Insulin Suspension Caused by Malfunctions,Idi E,J Diabetes Sci Technol,2024,10.1177/19322968241248402
Application of a nonrandomized stepped wedge design to evaluate an evidence-based quality improvement intervention: a proof of concept using simulated data on patient-centered medical homes,Huynh AK,BMC Med Res Methodol,2016,10.1186/s12874-016-0244-x
Exploring levers and barriers to accessing primary care for marginalised groups and identifying their priorities for primary care provision: a participatory learning and action research study,O'Donnell P,Int J Equity Health,2016,10.1186/s12939-016-0487-5
Clinical Decision Support Systems: From the Perspective of Small and Imbalanced Data Set,Par OE,Stud Health Technol Inform,2019,10.3233/SHTI190089
Comparing multilevel and multiscale convolution models for small area aggregated health data,Aregay M,Spat Spatiotemporal Epidemiol,2017,10.1016/j.sste.2017.06.001
A framework for the economic analysis of data collection methods for vital statistics,Jimenez-Soto E,PLoS One,2014,10.1371/journal.pone.0106234
Challenges in the design and analysis of sequentially monitored postmarket safety surveillance evaluations using electronic observational health care data,Nelson JC,Pharmacoepidemiol Drug Saf,2012,10.1002/pds.2324
Machine learning models trained on synthetic datasets of multiple sample sizes for the use of predicting blood pressure from clinical data in a national dataset,Arora A,PLoS One,2023,10.1371/journal.pone.0283094
Primary health care for remote village communities in Honduras: a model for training and support of community health workers,Rennert W,Fam Med,2009,
Hospital treatment costs and length of stay associated with hypertension and multimorbidity after hemorrhagic stroke,Specogna AV,BMC Neurol,2017,10.1186/s12883-017-0930-2
"A joint model for multistate disease processes and random informative observation times, with applications to electronic medical records data",Lange JM,Biometrics,2015,10.1111/biom.12252
Monte Carlo simulations of clinical PET and SPECT scans: impact of the input data on the simulated images,Stute S,Phys Med Biol,2011,10.1088/0031-9155/56/19/017
MPL resolves genetic linkage in fitness inference from complex evolutionary histories,Sohail MS,Nat Biotechnol,2021,10.1038/s41587-020-0737-3
A framework for the detection of de novo mutations in family-based sequencing data,Francioli LC,Eur J Hum Genet,2017,10.1038/ejhg.2016.147
Anatomically-aided PET reconstruction using the kernel method,Hutchcroft W,Phys Med Biol,2016,10.1088/0031-9155/61/18/6668
An ear-worn sensor for the detection of gait impairment after abdominal surgery,Atallah L,Surg Innov,2013,10.1177/1553350612445639
Application of Extreme Learning Machine in the Survival Analysis of Chronic Heart Failure Patients With High Percentage of Censored Survival Time,Yang H,Front Cardiovasc Med,2021,10.3389/fcvm.2021.726516
A probabilistic generative model to discover the treatments of coexisting diseases with missing data,Zaballa O,Comput Methods Programs Biomed,2024,10.1016/j.cmpb.2023.107870
"Unravelling relationships: Hospital occupancy levels, discharge timing and emergency department access block",Khanna S,Emerg Med Australas,2012,10.1111/j.1742-6723.2012.01587.x
New methods for estimating local electrical activation rate during atrial fibrillation,Ciaccio EJ,Heart Rhythm,2009,10.1016/j.hrthm.2008.10.016
A Bayesian inference method to estimate transmission trees with multiple introductions; applied to SARS-CoV-2 in Dutch mink farms,Van der Roest BR,PLoS Comput Biol,2023,10.1371/journal.pcbi.1010928
An intelligent system for predicting and preventing MERS-CoV infection outbreak,Sandhu R,J Supercomput,2016,10.1007/s11227-015-1474-0
Anomaly Identification during Polymerase Chain Reaction for Detecting SARS-CoV-2 Using Artificial Intelligence Trained from Simulated Data,Villarreal-González R,Molecules,2020,10.3390/molecules26010020
General practitioners' perceptions of COPD treatment: thematic analysis of qualitative interviews,Molin KR,Int J Chron Obstruct Pulmon Dis,2016,10.2147/COPD.S108611
Material practices for meaningful engagement: An analysis of participatory learning and action research techniques for data generation and analysis in a health research partnership,O'Reilly-de Brún M,Health Expect,2018,10.1111/hex.12598
Patient-Specific Biomechanical Modeling for Guidance During Minimally-Invasive Hepatic Surgery,Plantefève R,Ann Biomed Eng,2016,10.1007/s10439-015-1419-z
A Bayesian Framework to Identify Type 1 Diabetes Physiological Models Using Easily Accessible Patient Data,Cappon G,Annu Int Conf IEEE Eng Med Biol Soc,2019,10.1109/EMBC.2019.8856846
GatewayNet: a form of sequential rule mining,Kilgore PCSR,BMC Med Inform Decis Mak,2019,10.1186/s12911-019-0810-3
Diagnostic Evidence GAuge of Single cells (DEGAS): a flexible deep transfer learning framework for prioritizing cells in relation to disease,Johnson TS,Genome Med,2022,10.1186/s13073-022-01012-2
An Investigation of Stochastic Variance Reduction Algorithms for Relative Difference Penalized 3D PET Image Reconstruction,Twyman R,IEEE Trans Med Imaging,2023,10.1109/TMI.2022.3203237
Validation of non-participation bias methodology based on record-linked Finnish register-based health survey data: a protocol paper,McMinn MA,BMJ Open,2019,10.1136/bmjopen-2018-026187
A Generative and Causal Pharmacokinetic Model for Factor VIII in Hemophilia A: A Machine Learning Framework for Continuous Model Refinement,Janssen A,Clin Pharmacol Ther,2024,10.1002/cpt.3203
Conducting a team-based multi-sited focused ethnography in primary care,Bikker AP,BMC Med Res Methodol,2017,10.1186/s12874-017-0422-5
Effectiveness and safety of rivaroxaban vs. warfarin in patients with non-valvular atrial fibrillation and heart failure,Martinez BK,ESC Heart Fail,2019,10.1002/ehf2.12365
Performance of unanchored matching-adjusted indirect comparison (MAIC) for the evidence synthesis of single-arm trials with time-to-event outcomes,Jiang Y,BMC Med Res Methodol,2020,10.1186/s12874-020-01124-6
Plasmode simulation for the evaluation of pharmacoepidemiologic methods in complex healthcare databases,Franklin JM,Comput Stat Data Anal,2014,10.1016/j.csda.2013.10.018
Comparing measured and simulated wave directions in the left atrium - a workflow for model personalization and validation,Burdumy M,Biomed Tech (Berl),2012,10.1515/bmt-2011-0059
Use of real-world evidence for healthcare decision-making in the Middle East: practical considerations and future directions,Akhras KS,Expert Rev Pharmacoecon Outcomes Res,2019,10.1080/14737167.2019.1568243
Prediction of expiratory desflurane and sevoflurane concentrations in lung-healthy patients utilizing cardiac output and alveolar ventilation matched pharmacokinetic models: A comparative observational study,Weber J,Medicine (Baltimore),2021,10.1097/MD.0000000000023570
Determination of gamma camera calibration factors for quantitation of therapeutic radioisotopes,Zhao W,EJNMMI Phys,2018,10.1186/s40658-018-0208-9
Online model checking for monitoring surrogate-based respiratory motion tracking in radiation therapy,Antoni ST,Int J Comput Assist Radiol Surg,2016,10.1007/s11548-016-1423-2
Investigating heterogeneity in an individual patient data meta-analysis of time to event outcomes,Smith CT,Stat Med,2005,10.1002/sim.2050
Assessing and increasing patient panel size in the public sector,Marx R,J Public Health Manag Pract,2011,10.1097/PHH.0b013e318211393c
MicroRNA and Transcription Factor Gene Regulatory Network Analysis Reveals Key Regulatory Elements Associated with Prostate Cancer Progression,Sadeghi M,PLoS One,2016,10.1371/journal.pone.0168760
Assessing the ability of health information systems in hospitals to support evidence-informed decisions in Kenya,Kihuba E,Glob Health Action,2014,10.3402/gha.v7.24859
A tutorial on individualized treatment effect prediction from randomized trials with a binary endpoint,Hoogland J,Stat Med,2021,10.1002/sim.9154
A comparative study of clinical trial and real-world data in patients with diabetic kidney disease,Kurki S,Sci Rep,2024,10.1038/s41598-024-51938-3
Fast parameter inference in a biomechanical model of the left ventricle by using statistical emulation,Davies V,J R Stat Soc Ser C Appl Stat,2019,10.1111/rssc.12374
Integration of elicited expert information via a power prior in Bayesian variable selection: Application to colon cancer data,Boulet S,Stat Methods Med Res,2020,10.1177/0962280219841082
Best (but oft-forgotten) practices: propensity score methods in clinical nutrition research,Ali MS,Am J Clin Nutr,2016,10.3945/ajcn.115.125914
Drug-drug interaction potential among patients with nonmetastatic castration-resistant prostate cancer (nmCRPC) treated with novel androgen receptor inhibitors,Appukkuttan S,Expert Rev Anticancer Ther,2024,10.1080/14737140.2024.2328778
A roadmap for applying machine learning when working with privacy-sensitive data: predicting non-response to treatment for eating disorders,Svendsen VG,Expert Rev Pharmacoecon Outcomes Res,2023,10.1080/14737167.2023.2230368
SPECT image segmentation for estimation of tumour volume and activity concentration in (177)Lu-DOTATATE radionuclide therapy,Gustafsson J,EJNMMI Res,2017,10.1186/s13550-017-0262-7
Fractionated Bilirubin Among 252 892 Utah Newborns with and Without Biliary Atresia: A 15-year Historical Birth Cohort Study,Kastenberg ZJ,J Pediatr,2023,10.1016/j.jpeds.2022.12.041
Effective methods to correct contrast agent-induced errors in PET quantification in cardiac PET/CT,Büther F,J Nucl Med,2007,10.2967/jnumed.107.039941
Differentiation between single fiber potentials from one muscle fiber or contaminated by other fibers using discriminating function,Zalewska E,Neurophysiol Clin,2021,10.1016/j.neucli.2020.12.001
Managing uncertainty in imputing missing symptom value for healthcare of rural India,Das S,Health Inf Sci Syst,2019,10.1007/s13755-019-0066-4
Tensions in relation: How peer support is experienced and received in a hepatitis C treatment intervention,Bonnington O,Int J Drug Policy,2017,10.1016/j.drugpo.2017.05.031
SPINNED: Simulation-based physics-informed neural network for deconvolution of dynamic susceptibility contrast MRI perfusion data,Asaduddin M,Magn Reson Med,2024,10.1002/mrm.30095
The use of the SAEM algorithm in MONOLIX software for estimation of population pharmacokinetic-pharmacodynamic-viral dynamics parameters of maraviroc in asymptomatic HIV subjects,Chan PL,J Pharmacokinet Pharmacodyn,2011,10.1007/s10928-010-9175-z
Super-Resolution Whole-Brain 3D MR Spectroscopic Imaging for Mapping D-2-Hydroxyglutarate and Tumor Metabolism in Isocitrate Dehydrogenase 1-mutated Human Gliomas,Li X,Radiology,2020,10.1148/radiol.2020191529
Privacy-Preserving Federated Survival Support Vector Machines for Cross-Institutional Time-To-Event Analysis: Algorithm Development and Validation,Späth J,JMIR AI,2024,10.2196/47652
Attenuation-emission alignment in cardiac PET/CT based on consistency conditions,Alessio AM,Med Phys,2010,10.1118/1.3315368
A flexible framework for sequential estimation of model parameters in computational hemodynamics,Arthurs CJ,Adv Model Simul Eng Sci,2020,10.1186/s40323-020-00186-x
"Redundancy in electronic health record corpora: analysis, impact on text mining performance and mitigation strategies",Cohen R,BMC Bioinformatics,2013,10.1186/1471-2105-14-10
Non-parametric recurrent events analysis with BART and an application to the hospital admissions of patients with diabetes,Sparapani RA,Biostatistics,2020,10.1093/biostatistics/kxy032
High-fidelity fast volumetric brain MRI using synergistic wave-controlled aliasing in parallel imaging and a hybrid denoising generative adversarial network (HDnGAN),Li Z,Med Phys,2022,10.1002/mp.15427
Statistical projection completion in X-ray CT using consistency conditions,Xu J,IEEE Trans Med Imaging,2010,10.1109/TMI.2010.2048335
Assessing older adults' perceptions of sensor data and designing visual displays for ambient environments. An exploratory study,Reeder B,Methods Inf Med,2014,10.3414/ME13-02-0009
A framework for mining signatures from event sequences and its applications in healthcare data,Wang F,IEEE Trans Pattern Anal Mach Intell,2013,10.1109/TPAMI.2012.111
Procedure to normalize data for benchmarking,Chatburn RL,Respir Care,2006,
Probabilistic techniques for obtaining accurate patient counts in Clinical Data Warehouses,Myers RB,J Biomed Inform,2011,10.1016/j.jbi.2011.09.005
New ways of estimating excess mortality of chronic diseases from aggregated data: insights from the illness-death model,Brinks R,BMC Public Health,2019,10.1186/s12889-019-7201-7
A comparative study of feature extraction and blind source separation of independent component analysis (ICA) on childhood brain tumour 1H magnetic resonance spectra,Hao J,NMR Biomed,2009,10.1002/nbm.1393
Exploring barriers to primary care for migrants in Greece in times of austerity: Perspectives of service providers,Papadakaki M,Eur J Gen Pract,2017,10.1080/13814788.2017.1307336
A method for detecting and characterizing outbreaks of infectious disease from clinical reports,Cooper GF,J Biomed Inform,2015,10.1016/j.jbi.2014.08.011
Meta-analysis of prediction model performance across multiple studies: Which scale helps ensure between-study normality for the C-statistic and calibration measures?,Snell KI,Stat Methods Med Res,2018,10.1177/0962280217705678
Biological Variation: The Effect of Different Distributions on Estimated Within-Person Variation and Reference Change Values,Røraas T,Clin Chem,2016,10.1373/clinchem.2015.252296
A method for model-free partial volume correction in oncological PET,Hofheinz F,EJNMMI Res,2012,10.1186/2191-219X-2-16
Partial-volume correction in PET: validation of an iterative postreconstruction method with phantom and patient data,Teo BK,J Nucl Med,2007,10.2967/jnumed.106.035576
Implementing community participation via interdisciplinary teams in primary care: An Irish case study in practice,Tierney E,Health Expect,2018,10.1111/hex.12692
Improving robustness of automatic cardiac function quantification from cine magnetic resonance imaging using synthetic image data,Gheorghiță BA,Sci Rep,2022,10.1038/s41598-022-06315-3
Effective deep learning training for single-image super-resolution in endomicroscopy exploiting video-registration-based reconstruction,Ravì D,Int J Comput Assist Radiol Surg,2018,10.1007/s11548-018-1764-0
Validity of Attention Bias Variability Indices for Posttraumatic Stress Disorder Research: Evidence From Patient Data,Alon Y,J Trauma Stress,2019,10.1002/jts.22443
Different percentages of false-positive results obtained using five methods for the calculation of reference change values based on simulated normal and ln-normal distributions of data,Lund F,Ann Clin Biochem,2016,10.1177/0004563216643729
