Title,First Author,Journal,Publication Year,DOI
Patient asynchrony modelling during controlled mechanical ventilation therapy,"Arunachalam, Ganesa Ramachandran (57204976197); Chiew, Yeong Shiong (57191987083); Tan, Chee Pin (35086948100); Ralib, Azrina Mohd (37031770900); Nor, Mohd Basri Mat (57226799207)",Computer Methods and Programs in Biomedicine,2020,10.1016/j.cmpb.2019.105103
A probabilistic generative model to discover the treatments of coexisting diseases with missing data,"Zaballa, Onintze (57221385057); Pérez, Aritz (14049225300); Gómez-Inhiesto, Elisa (57208750914); Acaiturri-Ayesta, Teresa (57208757895); Lozano, Jose A. (35473051700)",Computer Methods and Programs in Biomedicine,2024,10.1016/j.cmpb.2023.107870
MoCab: A framework for the deployment of machine learning models across health information systems,"Kuo, Zhe-Ming (58852748800); Chen, Kuan-Fu (24723434000); Tseng, Yi-Ju (36773941600)",Computer Methods and Programs in Biomedicine,2024,10.1016/j.cmpb.2024.108336
Deep learning for cranioplasty in clinical practice: Going from synthetic to real patient data,"Kodym, Oldřich (46060998200); Španěl, Michal (22836945200); Herout, Adam (6506161493)",Computers in Biology and Medicine,2021,10.1016/j.compbiomed.2021.104766
Diffusion-based conditional ECG generation with structured state space models,"Alcaraz, Juan Miguel Lopez (58078985100); Strodthoff, Nils (42762348900)",Computers in Biology and Medicine,2023,10.1016/j.compbiomed.2023.107115
A joint learning method for incomplete and imbalanced data in electronic health record based on generative adversarial networks,"Weng, Xutao (57296223300); Song, Hong (7404037613); Lin, Yucong (57212110354); Wu, You (58724928900); Zhang, Xi (58530099800); Liu, Bowen (58735843400); Yang, Jian (57091071100)",Computers in Biology and Medicine,2024,10.1016/j.compbiomed.2023.107687
LDP-GAN : Generative adversarial networks with local differential privacy for patient medical records synthesis,"Gwon, Hansle (57221779785); Ahn, Imjin (57221780901); Kim, Yunha (57221775986); Kang, Hee Jun (57204768650); Seo, Hyeram (57298277400); Choi, Heejung (57298685400); Cho, Ha Na (57297668700); Kim, Minkyoung (57356592700); Han, JiYe (57927012400); Kee, Gaeun (57927028200); Park, Seohyun (58572221700); Lee, Kye Hwa (57711094000); Jun, Tae Joon (57191960185); Kim, Young-Hak (36067581900)",Computers in Biology and Medicine,2024,10.1016/j.compbiomed.2023.107738
Image reconstruction using UNET-transformer network for fast and low-dose PET scans,"Kaviani, Sanaz (58458573100); Sanaat, Amirhossein (57207449502); Mokri, Mersede (57575191700); Cohalan, Claire (57211978338); Carrier, Jean-Francois (35316787400)",Computerized Medical Imaging and Graphics,2023,10.1016/j.compmedimag.2023.102315
Synthetic data generation: State of the art in health care domain,"Murtaza, Hajra (24437828100); Ahmed, Musharif (56547913500); Khan, Naurin Farooq (56599682100); Murtaza, Ghulam (57206299490); Zafar, Saad (16023339500); Bano, Ambreen (57215078446)",Computer Science Review,2023,10.1016/j.cosrev.2023.100546
A Dirichlet process mixture model for the analysis of correlated binary responses,"Jara, Alejandro (25629702000); José García-Zattera, María (16301283000); Lesaffre, Emmanuel (19135017500)",Computational Statistics and Data Analysis,2007,10.1016/j.csda.2006.09.010
Plasmode simulation for the evaluation of pharmacoepidemiologic methods in complex healthcare databases,"Franklin, Jessica M. (55602764900); Schneeweiss, Sebastian (7005232148); Polinski, Jennifer M. (9280017600); Rassen, Jeremy A. (15061817800)",Computational Statistics and Data Analysis,2014,10.1016/j.csda.2013.10.018
Kappa statistic for clustered physician-patients polytomous data,"Yang, Zhao (19639663700); Zhou, Ming (56020681500)",Computational Statistics and Data Analysis,2015,10.1016/j.csda.2015.01.007
Tensions in relation: How peer support is experienced and received in a hepatitis C treatment intervention,"Bonnington, Oliver (56405608400); Harris, Magdalena (35106871900)",International Journal of Drug Policy,2017,10.1016/j.drugpo.2017.05.031
Reduction of SPECT acquisition time using deep learning: A phantom study,"Pribanić, Ivan (57208014279); Simić, Srđan Daniel (57210317200); Tanković, Nikola (55148441400); Debeljuh, Dea Dundara (57203023107); Jurković, Slaven (7801632060)",Physica Medica,2023,10.1016/j.ejmp.2023.102615
Securing healthcare data in industrial cyber-physical systems using combining deep learning and blockchain technology,"Mohammed, Mazin Abed (57192089894); Lakhan, Abdullah (57209259574); Zebari, Dilovan Asaad (57204888512); Ghani, Mohd Khanapi Abd (24491611800); Marhoon, Haydar Abdulameer (56532476900); Abdulkareem, Karrar Hameed (57197854295); Nedoma, Jan (57014879400); Martinek, Radek (36537543900)",Engineering Applications of Artificial Intelligence,2024,10.1016/j.engappai.2023.107612
Limits of 2D-TCA in detecting BOLD responses to epileptic activity,"Khatamian, Yasha Borna (36990283500); Fahoum, Firas (26538625800); Gotman, Jean (7007072444)",Epilepsy Research,2011,10.1016/j.eplepsyres.2011.01.018
In-Mapper combiner based MapReduce algorithm for processing of big climate data,"Manogaran, Gunasekaran (57189873309); Lopez, Daphne (19934008400); Chilamkurti, Naveen (6602599658)",Future Generation Computer Systems,2018,10.1016/j.future.2018.02.048
Identifying and handling data bias within primary healthcare data using synthetic data generators,"Draghi, Barbara (57222095888); Wang, Zhenchen (57210580015); Myles, Puja (26534802000); Tucker, Allan (57210525029)",Heliyon,2024,10.1016/j.heliyon.2024.e24164
Improving diabetes disease patients classification using stacking ensemble method with PIMA and local healthcare data,"Reza, Md Shamim (58044597500); Amin, Ruhul (59070517800); Yasmin, Rubia (58044212700); Kulsum, Woomme (58837391600); Ruhi, Sabba (56919677900)",Heliyon,2024,10.1016/j.heliyon.2024.e24536
New methods for estimating local electrical activation rate during atrial fibrillation,"Ciaccio, Edward J. (7004846604); Biviano, Angelo B. (7004185738); Whang, William (7005371945); Wit, Andrew L. (7004986899); Garan, Hasan (7006329052); Coromilas, James (7003883503)",Heart Rhythm,2009,10.1016/j.hrthm.2008.10.016
Synthea™ Novel coronavirus (COVID-19) model and synthetic data set,"Walonoski, Jason (14049438700); Klaus, Sybil (59115788900); Granger, Eldesia (57474503600); Hall, Dylan (57201069699); Gregorowicz, Andrew (6504647035); Neyarapally, George (57474513700); Watson, Abigail (57672637200); Eastman, Jeff (57474503700)",Intelligence-Based Medicine,2020,10.1016/j.ibmed.2020.100007
A Bayesian model calibration framework for stochastic compartmental models with both time-varying and time-invariant parameters,"Robinson, Brandon (56655494900); Bisaillon, Philippe (37561035000); Edwards, Jodi D. (7404534807); Kendzerska, Tetyana (54383390000); Khalil, Mohammad (56862768600); Poirel, Dominique (6602714824); Sarkar, Abhijit (56003141200)",Infectious Disease Modelling,2024,10.1016/j.idm.2024.04.002
A method for cohort selection of cardiovascular disease records from an electronic health record system,"Abrahão, Maria Tereza Fernandes (57193842743); Nobre, Moacyr Roberto Cuce (7006645389); Gutierrez, Marco Antonio (35581214400)",International Journal of Medical Informatics,2017,10.1016/j.ijmedinf.2017.03.015
Use of an open-source electronic health record to establish a “virtual hospital”: A tale of two curricula,"Medlock, Stephanie (36961390500); Ploegmakers, Kim J. (56707431800); Cornet, Ronald (57201825238); Pang, Kim Win (57194455256)",International Journal of Medical Informatics,2023,10.1016/j.ijmedinf.2022.104907
Synthetic data & the future of Women's Health: A synergistic relationship,"Delanerolle, Gayathri (57221806524); Phiri, Peter (24778536400); Cavalini, Heitor (57607972700); Benfield, David (7003281917); Shetty, Ashish (55908750300); Bouchareb, Yassine (57215706196); Shi, Jian Qing (55326088300); Zemkoho, Alain (36449470900)",International Journal of Medical Informatics,2023,10.1016/j.ijmedinf.2023.105238
Can I trust my fake data – A comprehensive quality assessment framework for synthetic tabular data in healthcare,"Vallevik, Vibeke Binz (56624558200); Babic, Aleksandar (58647926500); Marshall, Serena E. (57215907425); Elvatun, Severin (58738793600); Brøgger, Helga M.B. (55850140700); Alagaratnam, Sharmini (9338255400); Edwin, Bjørn (7004352983); Veeraragavan, Narasimha R. (55260230900); Befring, Anne Kjersti (58968996600); Nygård, Jan F. (7003875061)",International Journal of Medical Informatics,2024,10.1016/j.ijmedinf.2024.105413
Real-time query processing optimization for cloud-based wireless body area networks,"Diallo, Ousmane (57196606419); Rodrigues, Joel J.P.C. (25930566300); Sene, Mbaye (22036495600); Niu, Jianwei (56428506600)",Information Sciences,2014,10.1016/j.ins.2014.03.081
Dynamic access policy in cloud-based personal health record (PHR) systems,"Liu, Xuhui (57023306700); Liu, Qin (55712179000); Peng, Tao (57214366614); Wu, Jie (55837752300)",Information Sciences,2017,10.1016/j.ins.2016.06.035
Synthetic data as an enabler for machine learning applications in medicine,"Rajotte, Jean-Francois (58299675300); Bergen, Robert (57339680100); Buckeridge, David L. (6602840279); El Emam, Khaled (7004609665); Ng, Raymond (7102153783); Strome, Elissa (57940512900)",iScience,2022,10.1016/j.isci.2022.105331
MedWGAN based synthetic dataset generation for Uveitis pathology,"Sliman, Heithem (58192608800); Megdiche, Imen (55364699600); Alajramy, Loay (57945202300); Taweel, Adel (8434902100); Yangui, Sami (50061953500); Drira, Aida (38961232000); Lamine, Elyes (36925522200)",Intelligent Systems with Applications,2023,10.1016/j.iswa.2023.200223
Probabilistic techniques for obtaining accurate patient counts in Clinical Data Warehouses,"Myers, Risa B. (36728085700); Herskovic, Jorge R. (10143509800)",Journal of Biomedical Informatics,2011,10.1016/j.jbi.2011.09.005
Using uncertain data from body-worn sensors to gain insight into type 1 diabetes,"Heintzman, Nathaniel (16021912900); Kleinberg, Samantha (35610229600)",Journal of Biomedical Informatics,2016,10.1016/j.jbi.2016.08.022
Nonstationary multivariate Gaussian processes for electronic health records,"Meng, Rui (57219502474); Soper, Braden (56533570400); Lee, Herbert K.H. (7501494756); Liu, Vincent X. (35558866700); Greene, John D. (7402743873); Ray, Priyadip (55424775100)",Journal of Biomedical Informatics,2021,10.1016/j.jbi.2021.103698
Membership inference attacks against synthetic health data,"Zhang, Ziqi (57212394939); Yan, Chao (57201776358); Malin, Bradley A. (6602093073)",Journal of Biomedical Informatics,2022,10.1016/j.jbi.2021.103977
Detecting anomalous sequences in electronic health records using higher-order tensor networks,"Niu, Haoran (57219511352); Omitaomu, Olufemi A. (9746628200); Langston, Michael A. (7005471393); Olama, Mohammad (58865195100); Ozmen, Ozgur (55758986700); Klasky, Hilda B. (54395554500); Laurio, Angela (57211216848); Sauer, Brian (55441574600); Ward, Merry (57204418003); Nebeker, Jonathan (6603275941)",Journal of Biomedical Informatics,2022,10.1016/j.jbi.2022.104219
COMMUTE: Communication-efficient transfer learning for multi-site risk prediction,"Gu, Tian (57203067368); Lee, Phil H. (57212668098); Duan, Rui (55975296400)",Journal of Biomedical Informatics,2023,10.1016/j.jbi.2022.104243
Learning the progression patterns of treatments using a probabilistic generative model,"Zaballa, Onintze (57221385057); Pérez, Aritz (14049225300); Gómez Inhiesto, Elisa (57208750914); Acaiturri Ayesta, Teresa (57208757895); Lozano, Jose A. (35473051700)",Journal of Biomedical Informatics,2023,10.1016/j.jbi.2022.104271
Generating synthetic personal health data using conditional generative adversarial networks combining with differential privacy,"Sun, Chang (57201947370); van Soest, Johan (56156330000); Dumontier, Michel (6701759312)",Journal of Biomedical Informatics,2023,10.1016/j.jbi.2023.104404
Continuous time recurrent neural networks: Overview and benchmarking at forecasting blood glucose in the intensive care unit,"Fitzgerald, Oisin (57195354255); Perez-Concha, Oscar (57966359300); Gallego-Luxan, Blanca (57205397763); Metke-Jimenez, Alejandro (36782756000); Rudd, Lachlan (57226717845); Jorm, Louisa (6701859739)",Journal of Biomedical Informatics,2023,10.1016/j.jbi.2023.104498
Inferring actual treatment pathways from patient records,"Wilkins-Caruana, Adrian (57210813525); Bandara, Madhushi (57188683638); Musial, Katarzyna (14626743000); Catchpoole, Daniel (6701637669); Kennedy, Paul J. (55510406500)",Journal of Biomedical Informatics,2023,10.1016/j.jbi.2023.104554
Multi-view representation learning for tabular data integration using inter-feature relationships,"Tripathi, Sandhya (57201333227); Fritz, Bradley A. (57219190713); Abdelhack, Mohamed (55948688100); Avidan, Michael S. (56392715800); Chen, Yixin (57196271259); King, Christopher R. (25936410000)",Journal of Biomedical Informatics,2024,10.1016/j.jbi.2024.104602
FedFSA: Hybrid and federated framework for functional status ascertainment across institutions,"Fu, Sunyang (57204524255); Jia, Heling (58937413300); Vassilaki, Maria (6602472650); Keloth, Vipina K. (57207271008); Dang, Yifang (57225101371); Zhou, Yujia (57208207129); Garg, Muskan (57201597990); Petersen, Ronald C. (58959530900); St Sauver, Jennifer (8042985400); Moon, Sungrim (57199706262); Wang, Liwei (56044356400); Wen, Andrew (57203248254); Li, Fang (57207457538); Xu, Hua (57215023364); Tao, Cui (8245410000); Fan, Jungwei (16401680100); Liu, Hongfang (7409753328); Sohn, Sunghwan (7101646425)",Journal of Biomedical Informatics,2024,10.1016/j.jbi.2024.104623
"In simulated data and health records, latent class analysis was the optimum multimorbidity clustering algorithm","Nichols, Linda (57210692826); Taverner, Tom (57208547746); Crowe, Francesca (56607928400); Richardson, Sylvia (7202589117); Yau, Christopher (35869694900); Kiddle, Steven (35749036800); Kirk, Paul (56912979500); Barrett, Jessica (35486621500); Nirantharakumar, Krishnarajah (6505595300); Griffin, Simon (57190369444); Edwards, Duncan (56042649400); Marshall, Tom (7201537704)",Journal of Clinical Epidemiology,2022,10.1016/j.jclinepi.2022.10.011
Electronic Health Records and Genomics: Perspectives from the Association for Molecular Pathology Electronic Health Record (EHR) Interoperability for Clinical Genomics Data Working Group,"Carter, Alexis B. (7402910318); Abruzzo, Lynne V. (7004062063); Hirschhorn, Julie W. (57202776121); Jones, Dan (57202362424); Jordan, Danielle C. (57392919100); Nassiri, Mehdi (57194935090); Ogino, Shuji (13805134300); Patel, Nimesh R. (59030474500); Suciu, Christopher G. (36098451300); Temple-Smolkin, Robyn L. (57191514478); Zehir, Ahmet (35209315700); Roy, Somak (22954094000)",Journal of Molecular Diagnostics,2022,10.1016/j.jmoldx.2021.09.009
Mining productive-periodic frequent patterns in tele-health systems,"Ismail, Walaa N. (57194004570); Hassan, Mohammad Mehedi (57201949986); Alsalamah, Hessah A. (55155480300); Fortino, Giancarlo (6602895297)",Journal of Network and Computer Applications,2018,10.1016/j.jnca.2018.04.014
Fractionated Bilirubin Among 252 892 Utah Newborns with and Without Biliary Atresia: A 15-year Historical Birth Cohort Study,"Kastenberg, Zachary J. (15829628800); Deneau, Mark R. (36628165800); O'Brien, Elizabeth A. (55425475300); Huynh, Kelly (57195241345); Book, Linda S. (7003969738); Srivastava, Rajendu (55423403300); Jensen, M. Kyle (55932936500); Jaramillo, Catalina M. (57193670786); Guthery, Stephen L. (6603369156)",Journal of Pediatrics,2023,10.1016/j.jpeds.2022.12.041
Big science and big data in nephrology,"Saez-Rodriguez, Julio (24473386000); Rinschen, Markus M. (26030617400); Floege, Jürgen (55961563700); Kramann, Rafael (15044950500)",Kidney International,2019,10.1016/j.kint.2018.11.048
Spatio-temporal physics-informed learning: A novel approach to CT perfusion analysis in acute ischemic stroke,"de Vries, Lucas (57215420085); van Herten, Rudolf L.M. (57221252911); Hoving, Jan W. (57208212448); Išgum, Ivana (6507874503); Emmer, Bart J. (57578692300); Majoie, Charles B.L.M. (57216833044); Marquering, Henk A. (57217239823); Gavves, Efstratios (36731111500)",Medical Image Analysis,2023,10.1016/j.media.2023.102971
Optimization of DCE-MRI protocol for the assessment of patients with brain tumors,"Artzi, Moran (35095958900); Liberman, Gilad (55363220700); Nadav, Guy (56415018900); Blumenthal, Deborah T. (7201929323); Bokstein, Felix (6602577527); Aizenstein, Orna (6508145276); Bashat, Dafna Ben (6602276232)",Magnetic Resonance Imaging,2016,10.1016/j.mri.2016.07.003
Differentiation between single fiber potentials from one muscle fiber or contaminated by other fibers using discriminating function,"Zalewska, Ewa (6701881884); Gawel, Malgorzata (35175742500)",Neurophysiologie Clinique,2021,10.1016/j.neucli.2020.12.001
Generation and evaluation of privacy preserving synthetic health data,"Yale, Andrew (57210735354); Dash, Saloni (57222238844); Dutta, Ritik (57210725485); Guyon, Isabelle (6603114322); Pavao, Adrien (57210733553); Bennett, Kristin P. (7202750503)",Neurocomputing,2020,10.1016/j.neucom.2019.12.136
Investigating synthetic medical time-series resemblance,"Bhanot, Karan (57215610908); Pedersen, Joseph (57660453800); Guyon, Isabelle (6603114322); Bennett, Kristin P. (7202750503)",Neurocomputing,2022,10.1016/j.neucom.2022.04.097
Privacy preserving Generative Adversarial Networks to model Electronic Health Records,"Venugopal, Rohit (57766737500); Shafqat, Noman (57766778600); Venugopal, Ishwar (57222276922); Tillbury, Benjamin Mark John (57766819800); Stafford, Harry Demetrios (57766778700); Bourazeri, Aikaterini (55681513600)",Neural Networks,2022,10.1016/j.neunet.2022.06.022
Model-based estimation of intra-cortical connectivity using electrophysiological data,"Aram, P. (37010755000); Freestone, D.R. (35408997900); Cook, M.J. (7403191468); Kadirkamanathan, V. (7003477694); Grayden, D.B. (6507031713)",NeuroImage,2015,10.1016/j.neuroimage.2015.06.048
Fully synthetic neuroimaging data for replication and exploration,"Vaden, Kenneth I. (35316368100); Gebregziabher, Mulugeta (6504421196); Dyslexia Data Consortium (57218679459); Eckert, Mark A. (7102209282)",NeuroImage,2020,10.1016/j.neuroimage.2020.117284
Accuracy of partial volume effect correction in clinical molecular imaging of dopamine transporter using SPECT,"Soret, Marine (6701447484); Alaoui, Jawad (15822103500); Koulibaly, Pierre M. (35560740600); Darcourt, Jacques (7003569180); Buvat, Irène (35508472200)","Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",2007,10.1016/j.nima.2006.10.236
An evaluation of synthetic data augmentation for mitigating covariate bias in health data,"Juwara, Lamin (57224488774); El-Hussuna, Alaa (35299113400); El Emam, Khaled (7004609665)",Patterns,2024,10.1016/j.patter.2024.100946
Evaluation of the pharmacodynamic interaction effect of augmentation agents with clozapine in patients with treatment-resistant schizophrenia: A simulation study of clinical data,"Mishra, Archana (56662334200); Maiti, Rituparna (17342371900); Ramasubbu, Mathan kumar (58493862900); Srinivasan, Anand (49362067700)",Psychiatry Research,2024,10.1016/j.psychres.2024.115989
Some reliability issues for incomplete two-dimensional warranty claims data,"Kumar Gupta, Sanjib (56021064500); De, Soumen (57647458400); Chatterjee, Aditya (57209895000)",Reliability Engineering and System Safety,2017,10.1016/j.ress.2016.08.015
Assessing the accuracy of land cover change with imperfect ground reference data,"Foody, Giles M. (7007014233)",Remote Sensing of Environment,2010,10.1016/j.rse.2010.05.003
Flexible Bayesian Dirichlet mixtures of generalized linear mixed models for count data,"Adesina, Olumide S. (57191832234); Agunbiade, Dawud A. (36489011900); Oguntunde, Pelumi E. (57209317518)",Scientific African,2021,10.1016/j.sciaf.2021.e00963
Access to primary mental health care for hard-to-reach groups: From 'silent suffering' to 'making it work',"Kovandžić, Marija (35317970700); Chew-Graham, Carolyn (6701468194); Reeve, Joanne (7202242476); Edwards, Suzanne (24173134600); Peters, Sarah (7201536615); Edge, Dawn (18834847200); Aseem, Saadia (35316904500); Gask, Linda (7006255491); Dowrick, Christopher (56360697900)",Social Science and Medicine,2011,10.1016/j.socscimed.2010.11.027
A hierarchically adaptable spatial regression model to link aggregated health data and environmental data,"Truong, Phuong N. (55508145000); Stein, Alfred (7401758587)",Spatial Statistics,2018,10.1016/j.spasta.2017.11.002
Comparing multilevel and multiscale convolution models for small area aggregated health data,"Aregay, Mehreteab (55344868500); Lawson, Andrew B (26642947500); Faes, Christel (6507599044); Kirby, Russell S (7201552967); Carroll, Rachel (7201448932); Watjou, Kevin (56896058100)",Spatial and Spatio-temporal Epidemiology,2017,10.1016/j.sste.2017.06.001
Interdisciplinary research unlocking innovative solutions in healthcare,"Lepore, Dominique (57208795026); Dolui, Koustabh (55905939700); Tomashchuk, Oleksandr (57204612747); Shim, Heereen (57224369378); Puri, Chetanya (57188754343); Li, Yuan (57218412640); Chen, Nuoya (57219980263); Spigarelli, Francesca (55574504500)",Technovation,2023,10.1016/j.technovation.2022.102511
Artificial intelligence in healthcare: A bibliometric analysis,"Jimma, Bahiru Legesse (57734355400)",Telematics and Informatics Reports,2023,10.1016/j.teler.2023.100041
Implementation of a graph-embedded topic model for analysis of population-level electronic health records,"Wang, Yuening (57216891802); Grant, Audrey V. (8891725000); Li, Yue (55915485700)",STAR Protocols,2023,10.1016/j.xpro.2022.101966
SPLICE: A synthetic paid loss and incurred cost experience simulator,"Avanzi, Benjamin (16241043800); Taylor, Greg (56431888500); Wang, Melantha (57219797335)",Annals of Actuarial Science,2023,10.1017/S1748499522000057
Genomic health data generation in the UK: a 360 view,"Ormondroyd, Elizabeth (6506615403); Border, Peter (57312059800); Hayward, Judith (57193572777); Papanikitas, Andrew (26423165400)",European Journal of Human Genetics,2022,10.1038/s41431-021-00976-w
Novel phenotype–disease matching tool for rare genetic diseases,"Chen, Jing (57192188979); Xu, Huan (35202761700); Jegga, Anil (6602319909); Zhang, Kejian (55445465000); White, Pete S. (57210850334); Zhang, Ge (7405273341)",Genetics in Medicine,2019,10.1038/s41436-018-0050-4
FastClone is a probabilistic tool for deconvoluting tumor heterogeneity in bulk-sequencing samples,"Xiao, Yao (57809356700); Wang, Xueqing (57216660852); Zhang, Hongjiu (56850266300); Ulintz, Peter J. (6507283433); Li, Hongyang (57203857004); Guan, Yuanfang (16301203500)",Nature Communications,2020,10.1038/s41467-020-18169-2
A Multifaceted benchmarking of synthetic electronic health record generation models,"Yan, Chao (57201776358); Yan, Yao (57219263449); Wan, Zhiyu (56581176600); Zhang, Ziqi (57212394939); Omberg, Larsson (23028807900); Guinney, Justin (57209788542); Mooney, Sean D. (57207721730); Malin, Bradley A. (6602093073)",Nature Communications,2022,10.1038/s41467-022-35295-1
MPL resolves genetic linkage in fitness inference from complex evolutionary histories,"Sohail, Muhammad Saqib (13908320800); Louie, Raymond H. Y. (57580559900); McKay, Matthew R. (8915674500); Barton, John P. (57223674477)",Nature Biotechnology,2021,10.1038/s41587-020-0737-3
Axes of a revolution: challenges and promises of big data in healthcare,"Shilo, Smadar (57201068255); Rossman, Hagai (57213416198); Segal, Eran (35485628500)",Nature Medicine,2020,10.1038/s41591-019-0727-5
Internal Motion Estimation by Internal-external Motion Modeling for Lung Cancer Radiotherapy,"Chen, Haibin (56571624500); Zhong, Zichun (36835573000); Yang, Yiwei (57212007735); Chen, Jiawei (57194940590); Zhou, Linghong (14046402700); Zhen, Xin (21234647200); Gu, Xuejun (55216930800)",Scientific Reports,2018,10.1038/s41598-018-22023-3
Machine learning for comprehensive forecasting of Alzheimer’s Disease progression,"Fisher, Charles K. (23099701900); Smith, Aaron M. (57211058802); Walsh, Jonathan R. (57211057262); Simon, Adam J. (7401894775); Edgar, Chris (23102443500); Jack, Clifford R. (18033457700); Holtzman, David (35416882500); Russell, David (57203558295); Hill, Derek (58456713400); Grosset, Donald (57198035038); Wood, Fred (57211270447); Vanderstichele, Hugo (7003790485); Morris, John (57221184061); Blennow, Kaj (56415176000); Marek, Ken (7102813513); Shaw, Leslie M (57203176542); Albert, Marilyn (7403276705); Weiner, Michael (36048031400); Fox, Nick (7201444328); Aisen, Paul (35397403800); Cole, Patricia E. (57198080626); Petersen, Ronald (55465830000); Sherer, Todd (6701787548); Kubick, Wayne (7801680874)",Scientific Reports,2019,10.1038/s41598-019-49656-2
A comparison of synthetic data generation and federated analysis for enabling international evaluations of cardiovascular health,"Azizi, Zahra (56711810200); Lindner, Simon (57219686726); Shiba, Yumika (57696194500); Raparelli, Valeria (16031620500); Norris, Colleen M. (7202617641); Kublickiene, Karolina (6602181875); Herrero, Maria Trinidad (59157654800); Kautzky-Willer, Alexandra (7003883837); Klimek, Peter (24076624200); Gisinger, Teresa (57219048785); Pilote, Louise (7005840921); El Emam, Khaled (7004609665)",Scientific Reports,2023,10.1038/s41598-023-38457-3
A two-step deep learning method for 3DCT-2DUS kidney registration during breathing,"Chi, Yanling (58325395400); Xu, Yuyu (57211444277); Liu, Huiying (56119453500); Wu, Xiaoxiang (57405359900); Liu, Zhiqiang (57201189009); Mao, Jiawei (57226099708); Xu, Guibin (56915101600); Huang, Weimin (7407904780)",Scientific Reports,2023,10.1038/s41598-023-40133-5
A comparative study of clinical trial and real-world data in patients with diabetic kidney disease,"Kurki, Samu (56017774800); Halla-aho, Viivi (57216901061); Haussmann, Manuel (57201359103); Lähdesmäki, Harri (6507121329); Leinonen, Jussi V. (58295401100); Koskinen, Miika (7005357055)",Scientific Reports,2024,10.1038/s41598-024-51938-3
A comparative patient-level prediction study in OMOP CDM: applicative potential and insights from synthetic data,"Ahmadi, Najia (57283529300); Nguyen, Quang Vu (58139719100); Sedlmayr, Martin (56043034300); Wolfien, Markus (55633497900)",Scientific Reports,2024,10.1038/s41598-024-52723-y
An evaluation of the replicability of analyses using synthetic health data,"El Emam, Khaled (7004609665); Mosquera, Lucy (57219951005); Fang, Xi (57581280200); El-Hussuna, Alaa (35299113400)",Scientific Reports,2024,10.1038/s41598-024-57207-7
"Synthetic data generation for a longitudinal cohort study – evaluation, method extension and reproduction of published data analysis results","Kühnel, Lisa (57946603000); Schneider, Julian (58313636600); Perrar, Ines (57202081755); Adams, Tim (57503082300); Moazemi, Sobhan (57218763479); Prasser, Fabian (55295824400); Nöthlings, Ute (22135271000); Fröhlich, Holger (7005180387); Fluck, Juliane (6603558627)",Scientific Reports,2024,10.1038/s41598-024-62102-2
